subj,cond,AOI,duration,order
User 37,page3,bc,0.228580,1
User 37,page3,bc,0.180300,2
User 37,page3,bb,0.114900,3
User 37,page3,bb,0.180850,4
User 37,page3,bb,0.213230,5
User 37,page3,bb,0.194360,6
User 37,page3,bb,0.099060,7
User 37,page3,cc,0.016330,8
User 37,page3,bc,0.163790,9
User 37,page3,bc,0.230070,10
User 37,page3,bc,0.263180,11
User 37,page3,bc,0.149590,12
User 37,page3,bc,0.146970,13
User 37,page3,bc,0.132720,14
User 37,page3,bc,0.126010,15
User 37,page3,bc,0.132010,16
User 37,page3,bc,0.065800,17
User 37,page3,cc,0.082310,18
User 37,page3,bb,0.065800,19
User 37,page3,aa,0.131110,20
User 37,page3,ba,0.081670,21
